File ID	File Name	Track #	Time_Seconds	Titile
e9d3929041	RNB_CLASSIC_SOULS_DJ_MURRAY_02.mp3	52	270	Freddie Jackson - You Are My Lady
e9d3929041	RNB_CLASSIC_SOULS_DJ_MURRAY_02.mp3	53	470	Patti Austin - Baby, Come To Me
e9d3929041	RNB_CLASSIC_SOULS_DJ_MURRAY_02.mp3	54	650	Mr. Easy - No Chances
e9d3929041	RNB_CLASSIC_SOULS_DJ_MURRAY_02.mp3	55	840	Bad Gyal Jade - Celebration
e9d3929041	RNB_CLASSIC_SOULS_DJ_MURRAY_02.mp3	56	975	Kaream Kharizma - Gal Magnet
e9d3929041	RNB_CLASSIC_SOULS_DJ_MURRAY_02.mp3	57	1090	Kaream Kharizma Feat. Chris Martin - Gyal Magnet [Remix]
				
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	1	0	Peabo Bryson - If Ever You're In My Arms Again
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	2	150	Luther Vandross & Mariah Carey - Endless Love
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	3	305	Air Supply - All Out Of Love
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	4	420	Peabo Bryson & Regina Belle - A Whole New World 
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	5	560	Toni Braxton - Un-Break My Heart
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	6	690	Toni Braxton - Spanish Guitar
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	7	825	Westlife - Soledad
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	8	945	Celine Dion - Because You Loved Me
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	9	1100	Luther Vandross & Mariah Carey - I'd Rather
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	10	1260	Dionne Warwick Feat. Elton John & Gladys - That's What Friends Are For
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	11	1395	Michael Jackson - You Are Not Alone
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	12	1475	Mariah Carey - Hero
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	13	1615	Mariah Carey - Love Takes Time
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	14	1750	Boyz II Men & Mariah Carey - One Sweet Day
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	15	1900	Lionel Richie - Say You, Say Me
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	16	2050	Whitney Houston - Greatest Love Of All
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	17	2175	Atlantic Starr - Always
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	18	2350	Commodores - Easy
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	19	2410	Lionel Richie - Stuck On You
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	20	2555	Stuck On You - Please Forgive Me
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	21	2680	Whitney Houston - I Will Always Love You
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	22	2945	Whitney Houston - Try It On My Own
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	23	3080	Shania Twain - You're Still The One
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	24	3205	Shania Twain - From This Moment On
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	25	3315	George Benson - Nothing's Gonna Change My Love For You
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	26	3460	3T - Anything
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	27	3540	Jon B. Feat. Babyface - Someone To Love
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	28	3600	Michael Bolton - How Am I Supposed To Live Without You
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	29	3775	Celine Dion - The Power Of Love
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	30	3930	Westlife - My Love
7a31495cc0	DJ_TOPHAZ-SOUL_MIXPERIENCE.mp3	31	4070	Bon Jovi - Always
